Date,rs_korea
2019-12-18,68.77960632173246
2019-12-19,68.55500587745274
2019-12-20,68.49254078045884
2019-12-23,68.37349009015055
2019-12-24,67.94849155490492
2019-12-26,67.83094284324287
2019-12-27,68.04159056924253
2019-12-30,68.21579396372312
2020-01-02,66.72972977511182
2020-01-03,67.27876521727768
2020-01-06,66.3643755015199
2020-01-07,67.183646940477
2020-01-08,66.08317978237245
2020-01-09,66.71027306508601
2020-01-10,67.51294796536487
2020-01-13,67.7468035846206
2020-01-14,68.14306770852022
2020-01-15,67.74950306464208
2020-01-16,67.70468496827768
2020-01-17,67.57028439833348
2020-01-21,67.37553540588087
2020-01-22,68.19638299573093
2020-01-23,67.48371270629686
2020-01-28,66.36462654876712
2020-01-29,66.68071515739871
2020-01-30,65.33113002939979
2020-01-31,65.64133229176964
2020-02-03,65.1532913678985
2020-02-04,65.35699983003263
2020-02-05,64.84231759050397
2020-02-06,66.48425192390094
2020-02-07,66.36077799844824
2020-02-10,65.5450534043123
2020-02-11,66.08715880003683
2020-02-12,66.11481596892209
2020-02-13,66.02518674346378
2020-02-14,66.23339196652
2020-02-18,65.37714694721538
2020-02-19,65.10907725138657
2020-02-20,64.93871686994216
2020-02-21,64.6383726710064
2020-02-24,64.2653303327232
2020-02-25,67.05677874047194
2020-02-26,66.44559287418889
2020-02-27,68.83711874490517
2020-02-28,66.8440476470959
2020-03-02,64.56923460370805
2020-03-03,66.8588924439758
2020-03-04,65.60120434864025
2020-03-05,68.71129040169961
2020-03-06,68.35721179205713
2020-03-09,71.04222782394896
2020-03-10,67.8289956393957
2020-03-11,69.31940755304397
2020-03-12,73.68330758913056
2020-03-13,65.55317621506326
2020-03-16,71.25656096995255
2020-03-17,65.93398108743378
2020-03-18,66.0768538982458
2020-03-19,60.402227722170444
2020-03-20,67.82142639241977
2020-03-23,65.88174041418279
2020-03-24,65.60441432533008
2020-03-25,68.442410487742
2020-03-26,63.96402047822216
2020-03-27,67.15889920088384
2020-03-30,65.02336555042845
2020-03-31,67.44952218695273
2020-04-01,67.84348604447142
2020-04-02,67.8634516879611
2020-04-03,68.88189974739646
2020-04-06,67.0319835883723
2020-04-07,68.14909882429073
2020-04-08,65.34062057921042
2020-04-09,65.39652701209567
2020-04-13,65.62349882299804
2020-04-14,64.83702769384536
2020-04-16,65.92620427623244
2020-04-17,66.17820498723827
2020-04-20,66.79609233623395
2020-04-21,68.19897037928557
2020-04-22,67.31355170423224
2020-04-23,67.97801045825784
2020-04-24,66.14294574527587
2020-04-27,66.36810919954856
2020-04-28,67.06722070465686
2020-04-29,65.81146090381108
2020-05-04,66.22522091933801
2020-05-06,67.23065178581554
2020-05-07,66.42388760057057
2020-05-08,65.92579406524966
2020-05-11,65.55931362780373
2020-05-12,66.43533361007599
2020-05-13,68.27358116384629
2020-05-14,66.92865604440175
2020-05-15,66.70269183947971
2020-05-18,65.06117111702558
2020-05-19,67.21254432290827
2020-05-20,66.39111581049117
2020-05-21,67.14397611462442
2020-05-22,66.07163159973068
2020-05-26,67.24363825252935
2020-05-27,66.30412051681117
2020-05-28,66.33969601719981
2020-05-29,66.07991332705998
2020-06-01,66.96443948784699
2020-06-02,67.12558026735421
2020-06-03,68.14225324815786
2020-06-04,68.45473164478265
2020-06-05,67.69633398315233
2020-06-08,66.96201757328014
2020-06-09,67.60806482473137
2020-06-10,68.19771335409534
2020-06-11,71.74649043483291
2020-06-12,69.44873630928569
2020-06-15,65.53175928975479
2020-06-16,67.68906820814925
2020-06-17,68.06681234077224
2020-06-18,67.80002503761374
2020-06-19,68.44031495569222
2020-06-22,67.5407040607131
2020-06-23,67.37375329358412
2020-06-24,70.11933294809894
2020-06-25,67.79839100702839
2020-06-26,70.18037514509578
2020-06-29,67.82991100160855
2020-06-30,67.44707553898836
2020-07-01,66.92611731363812
2020-07-02,67.46539189858647
2020-07-06,68.07510129099632
2020-07-07,68.03755330042836
2020-07-08,67.35607839666542
2020-07-09,68.02475605081764
2020-07-10,66.7889567130221
2020-07-13,68.49435492561696
2020-07-14,67.54232217310602
2020-07-15,67.48739678168332
2020-07-16,67.1531900739733
2020-07-17,67.49351909894501
2020-07-20,66.86147294207994
2020-07-21,67.64923375099714
2020-07-22,67.26120607643897
2020-07-23,67.69255325586431
2020-07-24,67.64713091805767
2020-07-27,67.68906675369799
2020-07-28,69.32299469227738
2020-07-29,68.66795769714328
2020-07-30,69.03107452126523
2020-07-31,67.95693113630655
2020-08-03,67.53782950970698
2020-08-04,68.14261671158587
