Date,rs_small
2020-12-23,94.06341920520875
2020-12-24,93.63770511612012
2020-12-28,92.4949202390796
2020-12-29,90.87689553857042
2020-12-30,91.67156802437204
2020-12-31,91.04559598489736
2021-01-04,91.09701151431376
2021-01-05,91.87191647318872
2021-01-06,95.06277165576012
2021-01-07,95.3381239325757
2021-01-08,94.59308682793909
2021-01-11,95.15251656325717
2021-01-12,96.83758663658254
2021-01-13,95.88719435752031
2021-01-14,98.14639231690133
2021-01-15,97.39319623436037
2021-01-19,97.87245902914434
2021-01-20,96.96163530767511
2021-01-21,96.03287363601774
2021-01-22,97.49402490105336
2021-01-25,97.01621245903928
2021-01-26,96.49380359721313
2021-01-27,97.09809479730545
2021-01-28,95.96213718396218
2021-01-29,96.43994449314638
2021-02-01,97.19140927872917
2021-02-02,97.20136924754244
2021-02-03,97.41600505945264
2021-02-04,98.2858738959065
2021-02-05,99.25742382311637
2021-02-08,101.06217012978436
2021-02-09,101.6055514265187
2021-02-10,100.98219031374411
2021-02-11,100.70381714029992
2021-02-12,100.49181294764686
2021-02-16,99.94606425426039
2021-02-17,99.13993409963918
2021-02-18,98.02172911631347
2021-02-19,100.24282472849542
2021-02-22,100.36489519884046
2021-02-23,99.36049427142646
2021-02-24,100.59977139248349
2021-02-25,99.27362304039059
2021-02-26,99.65085919638952
2021-03-01,100.75081754840873
2021-03-02,99.58930013760062
2021-03-03,99.83368903473912
2021-03-04,98.2592367249346
2021-03-05,98.52988893919985
2021-03-08,99.49141212112197
2021-03-09,100.15372376918108
2021-03-10,101.26330097691213
2021-03-11,102.45285015537186
2021-03-12,102.91866784265476
2021-03-15,102.67204674631856
2021-03-16,101.08270522982818
2021-03-17,101.53023616587153
2021-03-18,99.8937344524666
2021-03-19,100.83422806368499
2021-03-22,99.28170078668236
2021-03-23,96.4393934289347
2021-03-24,94.69040391193919
2021-03-25,96.39320768747574
2021-03-26,96.59395962705094
2021-03-29,93.92239407785196
2021-03-30,95.75783332325956
2021-03-31,96.65302515407976
2021-04-01,96.83225990723979
2021-04-05,95.98686925525553
2021-04-06,95.76180957891441
2021-04-07,94.10746006951877
2021-04-08,94.45651817692044
2021-04-09,93.78738746499515
2021-04-12,93.38678515316948
2021-04-13,92.86727528209857
2021-04-14,94.10414466624789
2021-04-15,93.5083484082302
2021-04-16,93.34641457788065
2021-04-19,92.58801020326788
2021-04-20,91.36113716952293
2021-04-21,92.71751240610222
2021-04-22,93.18516500052392
2021-04-23,93.92472324815436
2021-04-26,94.70467674006561
2021-04-27,94.86631149696866
2021-04-28,95.055575565303
2021-04-29,94.10282910697426
2021-04-30,93.43722246568208
2021-05-03,93.6921765616437
2021-05-04,93.14745392096022
2021-05-05,92.74714957424884
2021-05-06,92.09097710196158
2021-05-07,92.57568712007046
2021-05-10,91.1244954372682
2021-05-11,91.6520811482298
2021-05-12,90.60081094886331
2021-05-13,91.17346826299656
2021-05-14,91.98804612662542
2021-05-17,92.34786278888517
2021-05-18,92.44334141805598
2021-05-19,91.97313630534248
2021-05-20,91.59962453422641
2021-05-21,91.9128599810912
2021-05-24,91.5768177156416
2021-05-25,90.89331801750848
2021-05-26,92.40542283259313
2021-05-27,93.3080102225498
2021-05-28,93.0794820512361
2021-06-01,94.21918131227496
